review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,04090071332df,Agencia de viajes,INSTANTANEOS TURISTICOS BYB,CDA. VIRGEN DE LA CONCEPCION ,Lomas de la Estancia,Ciudad de México,Iztapalapa
,02090126c8f01,Alimentos y bebidas,La Cima del Rocio,Mexico Cuernavaca,San Miguel Topilejo,Ciudad de México,Tlalpan
,0409005061335,Agencia de viajes,Bunny Traveling,Avenida Cutlahuac,Héroe de Nacozari,Ciudad de México,Gustavo A. Madero
,310900386656b,Guía de turistas,Luis Ricardo Bonilla Cazarin,Malintzin,Del Carmen,Ciudad de México,Coyoacán
,010901501618b,Hospedaje,Hotel Duran,Doctor Duran,Doctores,Ciudad de México,Cuauhtémoc
,04090144547ac,Agencia de viajes,Beel,Oklahoma ,Nápoles,Ciudad de México,Benito Juárez
,31090059ceca2,Guía de turistas,MIKE AURELIO VELZAQUEZ GALINDO,Jose Antonio Gamboa,Constitución de La República,Ciudad de México,Gustavo A. Madero
,2709016accbb6,Agencia integradora de servicios,DORAK MEX,GENERAL JUAN CANO,San Miguel Chapultepec I Sección,Ciudad de México,Miguel Hidalgo
,3109003c3e6c1,Guía de turistas,Ricardo Arturo Torres Márquez ,La valentina ,Carmen Serdán,Ciudad de México,Coyoacán
,04090052b8609,Agencia de viajes,Infinity Vacations ,NORTE,Tablas de San Agustín,Ciudad de México,Gustavo A. Madero
,0409014fb7224,Agencia de viajes,Periplo,Río Churubusco,Xoco,Ciudad de México,Benito Juárez
,020901579e628,Alimentos y bebidas,Terraza 56,Eje Central Lázaro Cárdenas,Centro (Área 1),Ciudad de México,Cuauhtémoc
,01090153ee7ba,Hospedaje,HOTEL B URBAN XAMAN,Paseo de la Reforma,Centro (Área 4),Ciudad de México,Cuauhtémoc
,0409015c9026c,Agencia de viajes,Travel Mirage,CLAVIJERO 25 SALAMANCA 304,Tránsito,Ciudad de México,Cuauhtémoc
,2909012bb1aa4,Campo de golf,CLUB DE GOLF MEXICO,GLORIETA SUR ,San Buenaventura,Ciudad de México,Tlalpan
,04090079f9104,Agencia de viajes,vivegotrip by fraveo,El Fuerte,San Lorenzo Xicotencatl,Ciudad de México,Iztapalapa
,0409012f0e1f9,Agencia de viajes,Trotamundo,Vicente Heredia ,Miguel Hidalgo,Ciudad de México,Tlalpan
,02090050fb282,Alimentos y bebidas,BURGER KING PUERTA ARAGÓN,CONSTITUCION DE  LA REPUBLICA,La Pradera,Ciudad de México,Gustavo A. Madero
,02090053b9372,Alimentos y bebidas,DOMINO´S PIZZA PUERTA ARAGÓN,CONSTITUCION DE LA REPUBLICA,La Pradera,Ciudad de México,Gustavo A. Madero
,3109006d39641,Guía de turistas,AMADO MIGUEL BOLANOS GUTIERREZ,ESTUDIOS SAN ANGEL INN,Jardines Tecma,Ciudad de México,Iztacalco
